State_UT,Year,PhD_Male,PhD_Female,PhD_Total,MPhil_Male,MPhil_Female,MPhil_Total,PG_Male,PG_Female,PG_Total,UG_Male,UG_Female,UG_Total,PG_Diploma_Male,PG_Diploma_Female,PG_Diploma_Total,Diploma_Male,Diploma_Female,Diploma_Total,Certificate_Male,Certificate_Female,Certificate_Total,Integrated_Male,Integrated_Female,Integrated_Total,Grand_Total_Male,Grand_Total_Female,Grand_Total
All India,2023-24,172356.0,171203.0,343559.0,668.0,1418.0,2086.0,2532581.607225796,3253270.415964306,5785852.023190103,17458030.01102234,17124237.520693302,34582267.53171565,102257.0,91332.0,193589.0,1988079.0,1327649.0,3315728.0,97842.0,110790.0,208632.0,296361.0,273048.0,569409.0,22648174.61824814,22352947.93665761,45001122.55490576
All India,2022-23,120981.0,112441.0,233422.0,1270.0,1964.0,3234.0,2511463.347512446,3202950.238688609,5714413.586201055,17855691.27810438,16819897.37637343,34675588.65447781,116482.0,98009.0,214491.0,1909954.0,1192121.0,3102075.0,76413.0,73826.0,150239.0,285117.0,253681.0,538798.0,22877371.62561683,21754889.61506204,44632261.24067886
All India,2021-22,113932.0,98636.0,212568.0,3393.0,6127.0,9520.0,2325040.0,2892713.0,5217753.0,17854294.0,16284939.0,34139233.0,130028.0,104755.0,234783.0,1860546.0,1055899.0,2916445.0,40558.0,36742.0,77300.0,248598.0,211981.0,460579.0,22576389.0,20691792.0,43268181.0
All India,2020-21,116764.0,95088.0,211852.0,6345.0,10399.0,16744.0,2053794.0,2662855.0,4716649.0,16747674.0,15909835.0,32657509.0,143723.0,113464.0,257187.0,1873568.0,1105752.0,2979320.0,83841.0,72070.0,155911.0,212201.0,173340.0,385541.0,21237910.0,20142803.0,41380713.0
All India,2019-20,111444.0,91106.0,202550.0,9043.0,14891.0,23934.0,1860163.0,2452372.0,4312535.0,15563077.0,15084210.0,30647287.0,116346.0,100903.0,217249.0,1740798.0,931764.0,2672562.0,74164.0,85705.0,159869.0,168712.0,131661.0,300373.0,19643747.0,18892612.0,38536359.0
A & N Islands,2023-24,,,,,,,492.0,813.0,1305.0,2575.0,2338.0,4913.0,23.0,30.0,53.0,369.0,309.0,678.0,,,,48.0,131.0,179.0,3507.0,3621.0,7128.0
A & N Islands,2022-23,,,,,,,534.0,751.0,1285.0,2794.0,2331.0,5125.0,34.0,41.0,75.0,443.0,334.0,777.0,0.0,0.0,0.0,48.0,131.0,179.0,3853.0,3588.0,7441.0
A & N Islands,2021-22,5.0,9.0,14.0,,,,575.0,942.0,1517.0,3807.0,4444.0,8251.0,26.0,37.0,63.0,555.0,407.0,962.0,39.0,33.0,72.0,193.0,355.0,548.0,5200.0,6227.0,11427.0
A & N Islands,2020-21,7.0,12.0,19.0,0.0,0.0,0.0,582.0,979.0,1561.0,4055.0,4672.0,8727.0,85.0,56.0,141.0,621.0,455.0,1076.0,39.0,33.0,72.0,145.0,224.0,369.0,5534.0,6431.0,11965.0
A & N Islands,2019-20,5.0,9.0,14.0,0.0,0.0,0.0,571.0,969.0,1540.0,3397.0,4059.0,7456.0,58.0,40.0,98.0,310.0,262.0,572.0,46.0,36.0,82.0,145.0,224.0,369.0,4532.0,5599.0,10131.0
Andhra Pradesh,2023-24,4490.0,3837.0,8327.0,,,,99603.97720453216,103195.37268088624,202799.3498854184,731768.6058946138,701269.8314645018,1433038.4373591156,1638.0,1027.0,2665.0,83707.0,61212.0,144919.0,385.0,191.0,576.0,7512.0,4531.0,12043.0,929104.5830991461,875263.204145388,1804367.7872445341
Andhra Pradesh,2022-23,3348.0,2846.0,6194.0,,,,98766.66865020778,98877.89616023094,197645.0,763277.2286909269,712084.0476966025,1475361.276387529,918.0,545.0,1463.0,86764.0,59646.0,146410.0,257.0,65.0,322.0,7834.0,5116.0,12950.0,961164.8973411347,879179.9438568334,1840344.841197968
Andhra Pradesh,2021-22,3237.0,2346.0,5583.0,7.0,16.0,23.0,93141.0,91801.0,184942.0,828981.0,740069.0,1569050.0,997.0,574.0,1571.0,95265.0,61698.0,156963.0,357.0,154.0,511.0,6754.0,3762.0,10516.0,1028739.0,900420.0,1929159.0
